fdc_id,source,version,url,description,display_name,preparation,aliases,kcal,protein_g,fat_g,carbs_g,energy_nutrient_id
173721,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/173721/nutrients,"Salmon nuggets, breaded, frozen, heated","Salmon nuggets, breaded, frozen, heated",frozen,,212,12.69,11.72,13.96,1008
173722,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/173722/nutrients,"Salmon nuggets, cooked as purchased, unheated","Salmon nuggets, cooked as purchased, unheated",cooked as purchased,,189,11.97,10.43,11.85,1008
169813,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/169813/nutrients,"Salmon, red (sockeye), filets with skin, smoked (Alaska Native)","Salmon, red (sockeye), filets with skin, smoked (Alaska Native)",smoked (Alaska Native),,345,60.62,11.43,0,1008
173723,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/173723/nutrients,"Salmon, sockeye, canned, drained solids, without skin and bones","Salmon, sockeye, canned, drained solids, without skin and bones",canned,,158,26.33,5.87,0,1008
175174,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/175174/nutrients,"Salmon, sockeye, canned, total can contents","Salmon, sockeye, canned, total can contents",canned,,153,20.63,7.17,0,1008
168048,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/168048/nutrients,"Salmonberries, raw (Alaska Native)","Salmonberries, raw (Alaska Native)",raw (Alaska Native),,47,0.85,0.33,10.05,1008
169277,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/169277/nutrients,"Salsify, (vegetable oyster), raw","Salsify, (vegetable oyster), raw",raw,,82,3.3,0.2,18.6,1008
170529,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/170529/nutrients,"Salsify, cooked, boiled, drained, with salt","Salsify, cooked, boiled, drained, with salt","cooked, boiled",,68,2.73,0.17,15.36,1008
169278,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/169278/nutrients,"Salsify, cooked, boiled, drained, without salt","Salsify, cooked, boiled, drained, without salt","cooked, boiled",,68,2.73,0.17,15.36,1008
173468,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/173468/nutrients,"Salt, table","Salt, table",,,0,0,0,0,1008
169069,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/169069/nutrients,"Sandwich spread, meatless","Sandwich spread, meatless",,,149,8,9,9,1008
174583,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174583/nutrients,"Sandwich spread, pork, beef","Sandwich spread, pork, beef",,,235,7.66,17.34,11.94,1008
171409,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171409/nutrients,"Sandwich spread, with chopped pickle, regular, unspecified oils","Sandwich spread, with chopped pickle, regular, unspecified oils",,,389,0.9,34,22.4,1008
167759,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/167759/nutrients,"Sapodilla, raw","Sapodilla, raw",raw,,83,0.44,1.1,19.96,1008
167760,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/167760/nutrients,"Sapote, mamey, raw","Sapote, mamey, raw",raw,,124,1.45,0.46,32.1,1008
171603,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171603/nutrients,"Sauce, alfredo mix, dry","Sauce, alfredo mix, dry",,,535,15.32,36.35,36.52,1008
174523,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174523/nutrients,"Sauce, barbecue","Sauce, barbecue",,,172,0.82,0.63,40.77,1008
171828,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171828/nutrients,"Sauce, barbecue, BULL'S-EYE, original","Sauce, barbecue, BULL'S-EYE, original",,,170,0.91,0.67,39.95,1008
171829,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171829/nutrients,"Sauce, barbecue, KC MASTERPIECE, original","Sauce, barbecue, KC MASTERPIECE, original",,,160,1,0.52,37.92,1008
174544,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174544/nutrients,"Sauce, barbecue, KRAFT, original","Sauce, barbecue, KRAFT, original",,,172,0.74,0.62,40.77,1008
171830,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171830/nutrients,"Sauce, barbecue, OPEN PIT, original","Sauce, barbecue, OPEN PIT, original",,,132,0.44,1.41,29.45,1008
171827,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171827/nutrients,"Sauce, barbecue, SWEET BABY RAY'S, original","Sauce, barbecue, SWEET BABY RAY'S, original",,,192,0.95,0.43,46.08,1008
171584,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171584/nutrients,"Sauce, cheese sauce mix, dry","Sauce, cheese sauce mix, dry",,,438,7.68,18.33,60.52,1008
171191,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171191/nutrients,"Sauce, cheese, ready-to-serve","Sauce, cheese, ready-to-serve",,,174,6.71,13.29,6.83,1008
171605,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171605/nutrients,"Sauce, chili, peppers, hot, immature green, canned","Sauce, chili, peppers, hot, immature green, canned",canned,,20,0.7,0.1,5,1008
174067,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174067/nutrients,"Sauce, cocktail, ready-to-serve","Sauce, cocktail, ready-to-serve",,,128,1.36,1.05,28.22,1008
171823,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171823/nutrients,"Sauce, duck, ready-to-serve","Sauce, duck, ready-to-serve",,,245,0.36,0.13,60.66,1008
174074,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174074/nutrients,"Sauce, enchilada, red, mild, ready to serve","Sauce, enchilada, red, mild, ready to serve",,,30,0.62,0.91,4.87,1008
174531,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174531/nutrients,"Sauce, fish, ready-to-serve","Sauce, fish, ready-to-serve",,,35,5.06,0.01,3.64,1008
172886,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172886/nutrients,"Sauce, hoisin, ready-to-serve","Sauce, hoisin, ready-to-serve",,,220,3.31,3.39,44.08,1008
